大麥,367,9.3,3,74.2
大麥片,368,8.8,1.8,77.4
小米,368,11.1,2.7,73.3
糯小米,369,11.4,1.8,75.2
小麥,362,13.9,2.3,69.9
麥片,406,11,7.5,74.3
麵條(乾),357,12.3,1.6,71.7
拉麵,302,9.3,0.8,62.8
通心麵,363,12.3,1.5,75.7
意麵(濕),288,10.1,1,60.1
鍋燒意麵,475,10,22.8,58.5
麵線,329,10.8,0.9,70.1
蚵仔麵線,305,11.3,1.4,62.3
白土司麵包,299,9.4,7.5,49
全麥土司,290,10.4,6.4,48.1
菠蘿麵包,386,9.2,17.2,49.3
玉米,111,3.8,1.9,19.4
玉米粒罐頭,97,2.3,2.1,17.2
白飯,183,3.1,0.3,41
米粉,357,0.4,0.3,88.7
米苔目,123,0.5,0,30.5
米漿,61,0.6,0.5,13.7
糙米漿,72,1.1,2.3,12.1
黑米漿,50,0.4,0.2,11.6
饅頭,247,8.1,1.2,51.3
廣式蘿蔔糕,139,1.7,4.4,23.2
即食燕麥片,405,9.8,9.9,70.1
蕎麥,366,11.6,3.2,71.4
薏仁,381,14,6,67.1
花枝丸,178,13.3,8.5,12.3
虱目魚丸,175,12.9,7.6,14
貢丸,245,16.8,19.5,1
魚丸,140,12.5,1,20.3
炸雞塊,228,15.3,13.2,12.3
天婦羅(甜不辣),174,12.4,4.6,21.1
竹輪,136,12.5,0.2,21.2
甜不辣,201,5.2,3.2,38.2
魚板,91,9.3,0.2,13.2
蟹味棒,115,9.3,0.3,19
豬肉水餃,204,7.8,8.8,23.5
豬肉韭菜水餃,227,8.4,11.4,23.1
牛肉水餃,219,8.9,10.7,22.1
韭菜合子,211,7.5,11.3,20.3
鮮肉鍋貼,229,7.8,9.8,27.7
蛋餃,182,12.1,14.1,2
魚餃,302,10.8,21.2,17.4
蝦餃,277,10.5,18.6,17.3
燕餃,299,13.5,22,12.4
菜肉餛飩,244,9.1,18.3,11.3
溫州餛飩,141,6.5,7.4,12.4
燒賣,175,9.3,8.7,15.1
小籠包,240,9.6,15.5,15.9
叉燒包,262,8.8,4.3,47.5
芋泥包,251,7,2.3,51.1
豆沙包,241,7.4,0.3,52.6
芝麻包,350,7.2,14,49.4
鮮肉包,281,8.1,10.3,39.3
芝麻湯圓,343,4.8,14.8,48.2
花生湯圓,342,5.2,14.6,48.1
肉圓,135,3.1,1.5,27.4
冷凍饅頭(全麥),294,8,5.3,54
八寶粥,75,1.5,0.7,15.9
肉粽,233,8.2,8.8,30.7
筒仔米糕,244,6.6,8.6,35.5
廣東粥,88,4.9,4.2,7.7
蝦仁炒飯,138,4.7,1.7,26.3
珍珠丸,221,10.2,10.8,21.1
漢堡,260,13,9,31
吉事漢堡,310,16,13,32
四盎司牛肉堡,540,32,30,35
雙層牛肉吉事堡,460,27,24,32
麥克雙牛堡,410,24,20,32
雙層四盎司牛肉堡,800,53,49,35
吉事漢堡,310,16,13,32
趣飯捲(牛肉),460,16,14,70
趣飯捲(雞肉),470,15,18,63
板烤雞腿堡,300,24,2,46
勁辣雞腿堡,560,27,30,45
麥香雞,380,14,17,42
麥香魚,320,15,14,35
麥克雞塊(6塊),350,22,22,17
麥脆雞(原味雞翅),220,17,12,13
麥脆雞(原味雞排),330,28,17,16
麥脆雞(原味雞腿),180,16,10,8
麥脆雞(辣味雞翅),240,12,17,9
麥脆雞(辣味雞排),340,28,18,17
麥脆雞(辣味雞腿),180,16,7,12
火腿蛋堡,310,16,13,32
滿福堡,280,17,11,28
豬肉滿福堡,330,16,17,28
豬肉滿福蛋堡,400,23,22,28
滿福香雞堡,370,13,17,39
滿福鮮蔬堡,310,20,13,29
鮮蔬火腿蛋堡,360,21,16,33
吉事蛋堡,283,13,12,30
哈姆吉事堡,280,13,12,29
經典大早餐,590,29,33,43
鬆餅,310,8,5,56
豬肉鬆餅,440,17,16,57
小薯條,240,3,12,29
中薯條,330,4,17,41
大薯條,470,6,24,57
薯餅,160,1,11,14
四季沙拉(小),20,1,0,4
